0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00
0.000000000000000000e+00,1.050000000000000000e+01
0.000000000000000000e+00,1.200000000000000000e+01
0.000000000000000000e+00,1.350000000000000000e+01
0.000000000000000000e+00,1.500000000000000178e+01
1.994031433040230894e-01,1.689719417871205209e+01
7.888976990112688270e-01,1.871147186806667762e+01
1.742719926328605951e+00,2.036354042716881807e+01
3.019183216975418915e+00,2.178119653248122134e+01
4.562499999999998224e+00,2.290248180953300050e+01
6.305219926328605951e+00,2.367839071119327699e+01
8.171177772682661100e+00,2.407501229523549569e+01
1.007882222731733712e+01,2.407501229523549569e+01
1.194478007367139583e+01,2.367839071119327343e+01
1.368750000000000000e+01,2.290248180953300405e+01
1.523081678302457931e+01,2.178119653248122489e+01
1.650728007367139583e+01,2.036354042716881807e+01
1.746110230098873473e+01,1.871147186806667762e+01
1.805059685669597513e+01,1.689719417871205565e+01
1.825000000000000000e+01,1.500000000000000000e+01
1.805059685669597513e+01,1.310280582128794791e+01
1.746110230098873473e+01,1.128852813193332594e+01
1.650728007367139583e+01,9.636459572831181930e+00
1.523081678302458286e+01,8.218803467518778660e+00
1.368750000000000355e+01,7.097518190466998611e+00
1.194478007367139583e+01,6.321609288806724791e+00
1.007882222731734423e+01,5.924987704764506091e+00
8.171177772682664653e+00,5.924987704764506091e+00
6.305219926328605951e+00,6.321609288806723015e+00
4.562500000000005329e+00,7.097518190466994170e+00
3.019183216975421580e+00,8.218803467518775108e+00
1.742719926328605951e+00,9.636459572831181930e+00
7.888976990112688270e-01,1.128852813193331706e+01
1.994031433040248658e-01,1.310280582128794258e+01
0.000000000000000000e+00,1.500000000000000000e+01
-1.994031433040230894e-01,1.689719417871205209e+01
-7.888976990112670507e-01,1.871147186806667762e+01
-1.742719926328604174e+00,2.036354042716881807e+01
-3.019183216975418915e+00,2.178119653248122134e+01
-4.562499999999999112e+00,2.290248180953300050e+01
-6.305219926328604174e+00,2.367839071119327343e+01
-8.171177772682661100e+00,2.407501229523549569e+01
-1.007882222731733712e+01,2.407501229523549569e+01
-1.194478007367139405e+01,2.367839071119327699e+01
-1.368749999999999822e+01,2.290248180953300405e+01
-1.523081678302457931e+01,2.178119653248122489e+01
-1.650728007367139583e+01,2.036354042716881807e+01
-1.746110230098873117e+01,1.871147186806667762e+01
-1.805059685669597513e+01,1.689719417871205920e+01
-1.825000000000000000e+01,1.500000000000000178e+01
-1.805059685669597513e+01,1.310280582128794791e+01
-1.746110230098873473e+01,1.128852813193332594e+01
-1.650728007367139583e+01,9.636459572831183706e+00
-1.523081678302458286e+01,8.218803467518778660e+00
-1.368750000000000355e+01,7.097518190466999499e+00
-1.194478007367139583e+01,6.321609288806724791e+00
-1.007882222731734423e+01,5.924987704764506091e+00
-8.171177772682666429e+00,5.924987704764506091e+00
-6.305219926328605951e+00,6.321609288806723015e+00
-4.562500000000006217e+00,7.097518190466994170e+00
-3.019183216975422468e+00,8.218803467518775108e+00
-1.742719926328605951e+00,9.636459572831180154e+00
-7.888976990112706034e-01,1.128852813193331528e+01
-1.994031433040248658e-01,1.310280582128794080e+01
0.000000000000000000e+00,1.750000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+01
0.000000000000000000e+00,2.250000000000000000e+01
0.000000000000000000e+00,2.500000000000000000e+01
0.000000000000000000e+00,2.750000000000000000e+01
0.000000000000000000e+00,3.000000000000000000e+01
0.000000000000000000e+00,3.250000000000000000e+01
0.000000000000000000e+00,3.500000000000000000e+01
0.000000000000000000e+00,3.750000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01
